[2025-02-13T20:00:14.899+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-13T20:00:14.916+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: infinite_hello_dag.say_hello_forever manual__2025-02-13T19:59:58+00:00 [queued]>
[2025-02-13T20:00:14.926+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: infinite_hello_dag.say_hello_forever manual__2025-02-13T19:59:58+00:00 [queued]>
[2025-02-13T20:00:14.927+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-02-13T20:00:14.961+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): say_hello_forever> on 2025-02-13 19:59:58+00:00
[2025-02-13T20:00:14.964+0000] {standard_task_runner.py:72} INFO - Started process 448 to run task
[2025-02-13T20:00:14.967+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'infinite_hello_dag', 'say_hello_forever', 'manual__2025-02-13T19:59:58+00:00', '--job-id', '72', '--raw', '--subdir', 'DAGS_FOLDER/welcome_dag.py', '--cfg-path', '/tmp/tmpt87rdf_5']
[2025-02-13T20:00:14.969+0000] {standard_task_runner.py:105} INFO - Job 72: Subtask say_hello_forever
[2025-02-13T20:00:15.046+0000] {task_command.py:467} INFO - Running <TaskInstance: infinite_hello_dag.say_hello_forever manual__2025-02-13T19:59:58+00:00 [running]> on host 1366b6904b8a
[2025-02-13T20:00:15.149+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='infinite_hello_dag' AIRFLOW_CTX_TASK_ID='say_hello_forever' AIRFLOW_CTX_EXECUTION_DATE='2025-02-13T19:59:58+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-02-13T19:59:58+00:00'
[2025-02-13T20:00:15.150+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-02-13T20:00:15.162+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:00:20.163+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:00:25.165+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:00:32.893+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:00:37.894+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:00:42.896+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:00:47.897+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:00:52.898+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:00:57.900+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:01:05.630+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:01:10.633+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:01:15.633+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:01:20.635+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:01:25.636+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:01:30.638+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:01:38.367+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:01:43.368+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:01:48.370+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:01:53.371+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:01:58.373+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:02:03.375+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:02:11.103+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:02:16.105+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:02:21.107+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:02:26.109+0000] {logging_mixin.py:190} INFO - Hello
[2025-02-13T20:02:31.110+0000] {logging_mixin.py:190} INFO - Hello
